RUT,Business_Name,Fantasy_Name,Validity,Registration_Num,Enrollment_Date,Cancel_Date,Enrollment,Telephone,Fax,Address,Region,Town,Commune,Email,Website,Postal_Code,Stock_Exchange_Name
 96874030 - K , ABC S.A. , , Vigente , 3833008 , 3833025 ," NUEVA DE LYON 72, piso 6 ", METROPOLITANA , SANTIAGO , PROVIDENCIA , , , , LA POLAR ,,,,
 76675290 - K , AD RETAIL S.A. , , Vigente , 8983002 , 8985050 , NUEVA LYON 72 PISO 6 , METROPOLITANA , SANTIAGO , PROVIDENCIA , abcdin@abcdin.cl , www.abcdin.cl , , ,,,,
 98000000 - 1 , ADMINISTRADORA  DE FONDOS DE PENSIONES CAPITAL S.A. , A.F.P.CAPITAL , Vigente , 4522019 , 4522020 , AV SUECIA 211 PISO 11  , METROPOLITANA , SANTIAGO , PROVIDENCIA , , , , AFPCAPITAL ,,,,
 98000100 - 8 , ADMINISTRADORA  DE FONDOS DE PENSIONES HABITAT S.A. , A.F.P. HABITAT S.A. , Vigente , 3782000 , 3782151 , PROVIDENCIA 1909 , METROPOLITANA , SANTIAGO , PROVIDENCIA , , , , HABITAT ,,,,
 77513781 - 9 , ADMINISTRADORA AMERICANA DE INVERSIONES S.A. , AAI S.A. , Vigente , 56224774606 , , APOQUINDO 6750 OF. PISO 20 , METROPOLITANA , SANTIAGO , LAS CONDES , contacto@aaisa.cl , www.aaisa.cl , , ,,,,
 76240079 - 0 , ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A. , AFP CUPRUM S.A. , Vigente , 224137965 , , APOQUINDO 3600 PISO 6 , METROPOLITANA , SANTIAGO , LAS CONDES , accionistas@cuprum.cl , www.cuprum.cl , , ,,,,
 76762250 - 3 , ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A. , A.F.P. MODELO S.A. , Vigente , 8287100 , , AV. DEL VALLE 614 OF 101 CIUDAD EMPRESARIAL , METROPOLITANA , SANTIAGO , HUECHURABA , , , , AFP MODELO ,,,,
 98001200 - K , ADMINISTRADORA DE FONDOS DE PENSIONES PLANVITAL S.A. , , Vigente , 5777710 , ," APOQUINDO 3039, PISO 1 ", METROPOLITANA , SANTIAGO , LAS CONDES , , , , PLANVITAL ,,,,
 76265736 - 8 , ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A. , , Vigente , 56223511187 , , PEDRO DE VALDIVIA 100 , METROPOLITANA , SANTIAGO , PROVIDENCIA , infoaccionistas@provida.cl , , 7510185 , ,,,,
 76129263 - 3 , AGROSUPER S.A. , , Vigente , 201165 , 201133 , CAMINO LA ESTRELLA 401 OFICINA 24 SECTOR PUNTA DE CORTES , DEL LIBERTADOR BERNARDO O'HIGGINS , RANCAGUA , RANCAGUA , mlavagnino@agrosuper.com , www.agrosuper.com , 2820000 , ,,,,
